城市编码,名称,所属省份编码,所属区域,Longitude,Latitude
340200,芜湖,340000,"全国,华东（长三角区域）",118.3788167,31.33403333
340300,蚌埠,340000,"全国,华东（长三角区域）",117.3515143,32.92917143
340400,淮南,340000,"全国,华东（长三角区域）",116.9472571,32.6488
340500,马鞍山,340000,"全国,华东（长三角区域）",118.50655,31.68315
340600,淮北,340000,"全国,华东（长三角区域）",116.8206,33.95175
340700,铜陵,340000,"全国,华东（长三角区域）",117.8070833,30.93338333
340800,安庆,340000,"全国,华东（长三角区域）",117.04085,30.5448
341000,黄山,340000,"全国,华东（长三角区域）",118.2514667,29.89656667
341100,滁州,340000,"全国,华东（长三角区域）",118.3176,32.29344
341200,阜阳,340000,"全国,华东（长三角区域）",115.81864,32.88444
341300,宿州,340000,"全国,华东（长三角区域）",116.96852,33.62822
341500,六安,340000,"全国,华东（长三角区域）",116.5095,31.7701
341600,亳州,340000,"全国,华东（长三角区域）",115.7831333,33.8317
341700,池州,340000,"全国,华东（长三角区域）",117.50366,30.66056
341800,宣城,340000,"全国,华东（长三角区域）",118.746575,30.944125
350100,福州,350000,"全国,华南区域",119.3745167,26.06076667
350200,厦门,350000,"全国,华南区域",118.11124,24.54404
350300,莆田,350000,"全国,华南区域",119.0572,25.41635
350400,三明,350000,"全国,华南区域",117.6196333,26.25723333
350500,泉州,350000,"全国,华南区域",118.619675,24.919575
350600,漳州,350000,"全国,华南区域",116.915075,24.51785
350700,南平,350000,"全国,华南区域",118.1754,26.63766667
350800,龙岩,350000,"全国,华南区域",117.0223667,25.06666667
350900,宁德,350000,"全国,华南区域",119.5273667,26.65936667
360100,南昌,360000,"全国,华东（长三角区域）",115.9025667,28.68317778
360200,景德镇,360000,"全国,华东（长三角区域）",117.200475,29.282375
360300,萍乡,360000,"全国,华东（长三角区域）",113.85535,27.633
360400,九江,360000,"全国,华东（长三角区域）",115.9942,29.68957143
360500,新余,360000,"全国,华东（长三角区域）",114.93386,27.8165
360600,鹰潭,360000,"全国,华东（长三角区域）",117.02785,28.2378
360700,赣州,360000,"全国,华东（长三角区域）",114.94296,25.85124
360800,吉安,360000,"全国,华东（长三角区域）",114.985125,27.10205
360900,宜春,360000,"全国,华东（长三角区域）",114.38555,27.798225
361000,抚州,360000,"全国,华东（长三角区域）",116.363075,27.977875
361100,上饶,360000,"全国,华东（长三角区域）",117.98462,28.44166
369900,赣江新区,360000,全国,115.8347,28.932
420100,武汉,420000,"全国,华南区域",114.2833778,30.56553333
420200,黄石,420000,"全国,华南区域",115.01896,30.20016
420300,十堰,420000,"全国,华南区域",110.7965667,32.6199
420500,宜昌,420000,"全国,华南区域",111.33615,30.68365
